Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,raw_string
1711562704.4238243,1863,1711562704,420096397,imu1_frame,0,0,0,,-0.040291196031182475,-0.00893555404779102,-0.7682739782475598,0.6387893782334704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00010325367854798453,-6.174974893555938e-05,5.544911033585985e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.692,0.49,-9.594,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.696e-05,-6.9400000000000005e-06,-2.9010000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.447603,1864,1711562704,445130825,imu1_frame,0,0,0,,-0.040277802623963486,-0.008924386441703859,-0.7682742588837099,0.6387900414683296,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00019929914728523252,3.6198128686362396e-05,-4.485496177625427e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.693,0.491,-9.626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.67e-05,-8.47e-06,-2.727e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.4729958,1865,1711562704,469325780,imu1_frame,0,0,0,,-0.04029336226026792,-0.00896048218162888,-0.7682679665920747,0.6387961225816218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8.94481241647094e-05,-2.570869988187647e-05,1.2618730491919003e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.689,0.23,-9.649,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.664e-05,-5.99e-06,-2.8239999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.4973338,1866,1711562704,494616270,imu1_frame,0,0,0,,-0.04032897564059585,-0.008945184224534249,-0.768262423441371,0.6388007562072548,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.171484235051948e-05,-0.00015282102930462349,1.5446163880149818e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.661,0.564,-9.568,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.72e-05,-5.88e-06,-2.928e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.522641,1867,1711562704,518865585,imu1_frame,0,0,0,,-0.040331141356002166,-0.008970112719592865,-0.7682564112569563,0.6388075004861028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0001673421686812163,7.403686686959947e-05,1.673770752662562e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.691,0.462,-9.685,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.748e-05,-8.49e-06,-2.8570000000000003e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.5466988,1868,1711562704,544890880,imu1_frame,0,0,0,,-0.040331141356002166,-0.008970112719592865,-0.7682564112569563,0.6388075004861028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.66366708411435e-05,-2.9583330821303885e-05,-2.9199358385865133e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.644,0.166,-9.589,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.673e-05,-7.41e-06,-2.7550000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.5754561,1869,1711562704,568764209,imu1_frame,0,0,0,,-0.04036571107293435,-0.008942175180758623,-0.7682566614160913,0.6388054078218298,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.7560222116845484e-05,1.0646508437165409e-05,3.108431397801901e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.674,0.6,-9.609,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.703e-05,-8.949999999999999e-06,-2.8179999999999998e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.5992723,1870,1711562704,597144842,imu1_frame,0,0,0,,-0.04031105173437395,-0.008953360795751795,-0.7682568331504871,0.6388084961521051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00010939723751500458,7.3251468706202e-05,2.2776546738525998e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.683,0.357,-9.701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.73e-05,-6.5900000000000004e-06,-2.8599999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.6237864,1871,1711562704,621848583,imu1_frame,0,0,0,,-0.04031550449888997,-0.008934368204719871,-0.768257129715806,0.6388081244024797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00010482447487477943,3.420845333908886e-05,-1.4486232791552934e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.703,0.292,-9.591,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.663e-05,-6.82e-06,-2.8899999999999998e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.6493783,1872,1711562704,645530939,imu1_frame,0,0,0,,-0.04029986762671348,-0.008898623656637274,-0.7682578462248626,0.6388087482809097,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.51509311351658e-05,5.4506632539782905e-05,5.585053606381854e-07,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.693,0.563,-9.53,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.748e-05,-8.37e-06,-2.8970000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
